Semana,Compra_Tela,Compra_Hilo,Compra_Lamina,Produccion_PT,Inv_Tela,Inv_Hilo,Inv_Lamina,Inv_PT,Pronostico
1,334.0,3300.0,2333.0,3340.0,0.0,2966.0,216.0,2340.0,1000
2,216.0,0.0,417.0,2160.0,0.0,2750.0,0.0,2500.0,2000
3,334.0,0.0,0.0,3340.0,0.0,2416.0,1999.0,4840.0,1000
4,334.0,0.0,0.0,3340.0,0.0,2082.0,2082.0,4180.0,4000
5,334.0,0.0,0.0,3340.0,0.0,1748.0,1748.0,4520.0,3000
6,334.0,0.0,0.0,3340.0,0.0,1414.0,1414.0,5860.0,2000
7,334.0,0.0,0.0,3340.0,0.0,1080.0,1080.0,7200.0,2000
8,334.0,0.0,0.0,3340.0,0.0,746.0,746.0,9540.0,1000
9,334.0,0.0,0.0,3340.0,0.0,412.0,412.0,9880.0,3000
10,334.0,0.0,0.0,3340.0,0.0,78.0,78.0,6220.0,7000
11,78.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,7000
